protein_group_no	protein_id	description	gene_name	mw	top3	protein_fdr	max_score	total_score	ssm	upm	fqssm	qssm	qupm	reference_label	signal_sum_126	signal_sum_127L	signal_sum_127H	signal_sum_128L	signal_sum_128H	signal_sum_129L	signal_sum_129H	signal_sum_130L	signal_sum_130H	signal_sum_131L	rel_fc_126	rel_fc_127L	rel_fc_127H	rel_fc_128L	rel_fc_128H	rel_fc_129L	rel_fc_129H	rel_fc_130L	rel_fc_130H	rel_fc_131L	delta_conf_126	delta_conf_127L	delta_conf_127H	delta_conf_128L	delta_conf_128H	delta_conf_129L	delta_conf_129H	delta_conf_130L	delta_conf_130H	delta_conf_131L
1	P40227	T-complex protein 1 subunit zeta OS=Homo sapiens GN=CCT6A PE=1 SV=3	CCT6A	68529.1	5.12398	0.0	69	94	2	2	0	2	2	126	1.41179e+06	148810.0	153754.0	74785.8	1.14839e+06	1.09023e+06	1.20195e+06	1.74602e+06	1.4997e+06	1.37422e+06	1.0	0.105405	0.108907	0.0529724	0.813427	0.772233	0.851368	1.23675	1.06227	0.973392	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	I3L172|Q9BUT9	MAPK-regulated corepressor-interacting protein 2 OS=Homo sapiens GN=MCRIP2 PE=1 SV=1|MAPK regulated corepressor interacting protein 2 OS=Homo sapiens GN=MCRIP2 PE=1 SV=2	MCRIP2	7944.37|18733.7	4.30976	0.0	63	63	1	1	0	1	1	126	457008.0	45422.3	35958.2	27421.6	618184.0	508968.0	606495.0	672883.0	519030.0	512046.0	1.0	0.0993904	0.0786816	0.0600023	1.35267	1.11369	1.3271	1.47236	1.13571	1.12043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3	B5MDF5|J3KQE5|P62826	GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=1|GTP-binding nuclear protein Ran (Fragment) OS=Homo sapiens GN=RAN PE=1 SV=1|GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	RAN	30561.6|31153.2|28761.7	5.59036	0.0	62	107	2	2	0	2	2	126	1.34381e+06	134101.0	344853.0	280130.0	1.54089e+06	1.22055e+06	1.53124e+06	1.98022e+06	1.58785e+06	1.45986e+06	1.0	0.0997919	0.256624	0.20846	1.14666	0.908279	1.13948	1.47359	1.18161	1.08636	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	Q9HBM6	Transcription initiation factor TFIID subunit 9B OS=Homo sapiens GN=TAF9B PE=1 SV=1	TAF9B	31729.3	5.54454	0.0	53	137	3	1	2	1	1	126	1.25705e+06	338534.0	526486.0	491395.0	1.48487e+06	1.49606e+06	1.64825e+06	1.7623e+06	1.47215e+06	1.36295e+06	1.0	0.269308	0.418826	0.390911	1.18124	1.19014	1.31121	1.40193	1.17112	1.08425	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	M0QYS1|P40429	60S ribosomal protein L13a (Fragment) OS=Homo sapiens GN=RPL13A PE=1 SV=2|60S ribosomal protein L13a OS=Homo sapiens GN=RPL13A PE=1 SV=2	RPL13A	30846.3|30208.1	5.77426	0.0	57	126	4	4	0	4	4	126	3.02258e+06	462378.0	428836.0	411854.0	4.76098e+06	2.90467e+06	3.37083e+06	8.11115e+06	4.85565e+06	3.58315e+06	1.0	0.152975	0.141878	0.136259	1.57514	0.96099	1.11522	2.68352	1.60646	1.18546	0.0	0.222687	0.0629392	0.131849	0.222109	0.0651333	0.200018	0.630602	0.195455	0.221446
6	E7ETD6|Q12830	Nucleosome-remodeling factor subunit BPTF (Fragment) OS=Homo sapiens GN=BPTF PE=1 SV=3|Nucleosome-remodeling factor subunit BPTF OS=Homo sapiens GN=BPTF PE=1 SV=3	BPTF	363110.0|395574.0	4.76141	0.0	51	68	3	2	1	2	2	126	551288.0	60706.4	74879.7	51736.5	587784.0	404613.0	729432.0	591807.0	486074.0	612371.0	1.0	0.110117	0.135827	0.0938466	1.0662	0.73394	1.32314	1.0735	0.881706	1.1108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7	P00761|TRYP_PIG	SWISS-PROT:P00761|TRYP_PIG Trypsin - Sus scrofa (Pig).|	P00761|TRYP_PIG	27143.8|27143.8	7.04862	0.0	96	213	23	3	2	21	3	126	1.35456e+07	1.38778e+07	1.40063e+07	1.35483e+07	1.47954e+07	1.51078e+07	1.56134e+07	1.77117e+07	1.47989e+07	1.6505e+07	1.0	1.02447	1.03449	1.00281	1.09168	1.11611	1.15239	1.30836	1.09361	1.21835	0.0	0.1576	0.128336	0.110026	0.0626519	0.129728	0.0871978	0.0812424	0.0881555	0.0930147
8	Q15459	Splicing factor 3A subunit 1 OS=Homo sapiens GN=SF3A1 PE=1 SV=1	SF3A1	102580.0	5.14158	0.0	32	32	1	1	0	1	1	126	1.85299e+06	123840.0	201693.0	156747.0	2.38749e+06	2.28119e+06	2.24965e+06	2.98196e+06	2.62175e+06	1.95293e+06	1.0	0.0668327	0.108847	0.0845916	1.28845	1.23109	1.21406	1.60927	1.41488	1.05393	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9	ALBU_BOVIN|P02769	|SWISS-PROT:P02769 (Bos taurus) Bovine serum albumin precursor	ALBU_BOVIN|P02769	83227.4|83227.4	4.60024	0.0	64	64	1	1	0	1	1	126	172864.0	55895.0	96025.1	40642.2	228671.0	170102.0	2.09835e+06	266441.0	351051.0	219360.0	1.0	0.323347	0.555496	0.235111	1.32284	0.984022	12.1388	1.54134	2.03079	1.26898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	D3DQV9|E9PKF8|H0Y3P2|P78344	Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=1 SV=1|Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens GN=EIF4G2 PE=1 SV=8|Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1|Eukaryotic translation initiation factor 4 gamma 2 OS=Homo sapiens GN=EIF4G2 PE=1 SV=1	EIF4G2	119223.0|24785.9|114326.0|119255.0	4.43791	0.0	45	45	1	1	0	1	1	126	527215.0	50998.2	57557.8	44348.6	619943.0	486526.0	612874.0	1.02393e+06	823694.0	710113.0	1.0	0.0967313	0.109173	0.0841186	1.17588	0.922823	1.16247	1.94215	1.56235	1.34691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
